parcelid,logerror,transactiondate
0,0.8533727714626699,2016-01-01
1,-1.8427691877245924,2016-01-01
2,-1.024037631985709,2016-01-01
3,-1.2739850952783462,2016-01-01
4,-0.17645608606615928,2016-01-01
5,-1.0181839147023204,2016-01-01
6,-0.492690606501017,2016-01-01
7,1.6781770061220835,2016-01-01
8,0.07973724032937735,2016-01-01
9,-0.78676129827378,2016-01-01
10,0.7292117995225197,2016-01-01
11,-0.16407586557057585,2016-01-01
12,1.1788268518597398,2016-01-01
13,1.3552609529433437,2016-01-01
14,-0.5761114239680373,2016-01-01
15,2.0046174385205884,2016-01-01
16,-1.3318045155679918,2016-01-01
17,-1.389262965357518,2016-01-01
18,-0.07141716659085752,2016-01-01
19,-0.11517817817762839,2016-01-01
20,0.5919692616740001,2016-01-01
21,-0.9672865809351956,2016-01-01
22,0.282844711109531,2016-01-01
23,-0.09538624326475205,2016-01-01
24,-0.4612601686380649,2016-01-01
25,-1.7372079609923787,2016-01-01
26,-0.23546658678654586,2016-01-01
27,1.3033611867151187,2016-01-01
28,-1.3413818672060491,2016-01-01
29,-0.7704706020886976,2016-01-01
30,1.5106157749600846,2016-01-01
31,-2.7495887486034594,2016-01-01
32,0.9796185690697315,2016-01-01
33,1.363806057064618,2016-01-01
34,-0.3648440171390402,2016-01-01
35,0.2780231862426903,2016-01-01
36,1.1728063260949344,2016-01-01
37,1.7289360083748115,2016-01-01
38,-0.6089002669912821,2016-01-01
39,-0.7359876089903661,2016-01-01
40,-0.14135952755310865,2016-01-01
41,0.29262089201485814,2016-01-01
42,-0.657893725024074,2016-01-01
43,1.2606128151141958,2016-01-01
44,0.2814766135505379,2016-01-01
45,1.1362440202034205,2016-01-01
46,0.3152485876501007,2016-01-01
47,-1.7825514822603663,2016-01-01
48,-1.1865120957073811,2016-01-01
49,-0.8648858503754752,2016-01-01
50,0.04705450874604761,2016-01-01
51,0.6542663265121976,2016-01-01
52,-0.537933853218241,2016-01-01
53,1.0285016061687695,2016-01-01
54,-1.4994416577485572,2016-01-01
55,-2.04918306995343,2016-01-01
56,0.5804209302327781,2016-01-01
57,0.5028625917437443,2016-01-01
58,-0.04170605338173538,2016-01-01
59,1.680999081387661,2016-01-01
60,-0.5612160447140285,2016-01-01
61,0.31645698292736335,2016-01-01
62,0.8776374328951205,2016-01-01
63,0.5998579932771848,2016-01-01
64,1.4044005883983928,2016-01-01
65,-0.4208599213316456,2016-01-01
66,-1.1046239153788413,2016-01-01
67,0.5953882448659036,2016-01-01
68,3.0763727406807093,2016-01-01
69,1.3786222193713806,2016-01-01
70,-0.0874535525549847,2016-01-01
71,-0.8615676730896898,2016-01-01
72,-0.4833322303508583,2016-01-01
73,0.09612492870969469,2016-01-01
74,0.3071604915895311,2016-01-01
75,-0.04442435225716715,2016-01-01
76,-0.07320605943045623,2016-01-01
77,0.21957256835377487,2016-01-01
78,-1.0742110359036088,2016-01-01
79,0.5572369417602069,2016-01-01
80,-0.0934173509079097,2016-01-01
81,0.9457367389427106,2016-01-01
82,-0.3946920057914414,2016-01-01
83,-0.3586638598745384,2016-01-01
84,-0.6096527157045172,2016-01-01
85,0.15833550935838192,2016-01-01
86,1.3302824918831913,2016-01-01
87,0.35740980742940825,2016-01-01
88,-2.430068095935299,2016-01-01
89,0.5442617434961424,2016-01-01
90,1.7825354426437856,2016-01-01
91,-0.524435201559227,2016-01-01
92,-0.423768819853616,2016-01-01
93,-2.106471491781042,2016-01-01
94,-0.26725760136551513,2016-01-01
95,-2.8773418995740765,2016-01-01
96,-0.17052084001171527,2016-01-01
97,2.312751404366813,2016-01-01
98,-0.2149380204436271,2016-01-01
99,0.24840610512945885,2016-01-01
